Model,Samples,MAE,RMSE,R2
VAR,100,1.323831339972004,1.6527672755933336,0.9283624414543125
SARIMA,100,1.3180170919296024,1.6564283254683019,0.9280447207991326
ARIMA,100,1.346037579493342,1.6817664417334193,0.9258265072057885
XGBoost,100,1.315092720300946,1.7222596517823663,0.9222116391288999
GRU,100,1.946826140286256,2.3612841004952427,0.8537776190040823
LSTM,100,2.217387055166698,2.6376114788442155,0.817552039020971
SimpleRNN,100,2.230487674285719,2.645584357599458,0.8164473774784669
