,count,mean,std,min,25%,50%,75%,max
meantemp,1462.0,25.495520655761762,7.348102725432476,6.0,18.857142857142858,27.714285714285715,31.30580357142857,38.71428571428572
humidity,1462.0,60.77170158004638,16.769652268485306,13.428571428571429,50.375,62.625,72.21875,100.0
wind_speed,1462.0,6.802208747447473,4.561602164272007,0.0,3.475,6.221666666666667,9.238235294117647,42.22
meanpressure,1462.0,1011.1045475940377,180.2316683392096,-3.0416666666666665,1001.5803571428571,1008.563492063492,1014.9449013157895,7679.333333333333
